level_0,index,X_Raster,Y_Raster,rock_types
0,263,767.0,89.0,0.0
1,264,771.0,89.0,0.0
2,265,772.0,90.0,0.0
3,266,772.0,93.0,0.0
4,267,317.0,135.0,0.0
5,268,317.0,136.0,0.0
6,270,302.0,144.0,0.0
7,271,306.0,144.0,0.0
8,272,309.0,145.0,0.0
9,273,312.0,145.0,0.0
10,274,315.0,145.0,0.0
11,275,260.0,146.0,0.0
12,276,299.0,146.0,0.0
13,277,300.0,146.0,0.0
14,278,309.0,146.0,0.0
15,280,315.0,146.0,0.0
16,281,316.0,146.0,0.0
17,282,252.0,147.0,0.0
18,283,289.0,147.0,0.0
19,284,296.0,147.0,0.0
20,285,303.0,147.0,0.0
21,286,308.0,147.0,0.0
22,287,310.0,147.0,0.0
23,288,311.0,147.0,0.0
24,290,241.0,148.0,0.0
25,291,244.0,148.0,0.0
26,292,289.0,148.0,0.0
27,293,295.0,148.0,0.0
28,294,298.0,148.0,0.0
29,295,305.0,148.0,0.0
30,296,306.0,148.0,0.0
31,297,307.0,148.0,0.0
32,298,308.0,148.0,0.0
33,300,241.0,149.0,0.0
34,301,288.0,149.0,0.0
35,302,289.0,149.0,0.0
36,303,290.0,149.0,0.0
37,304,292.0,149.0,0.0
38,305,293.0,149.0,0.0
39,306,295.0,149.0,0.0
40,307,301.0,149.0,0.0
41,308,309.0,149.0,0.0
42,310,278.0,150.0,0.0
43,311,289.0,150.0,0.0
44,312,294.0,150.0,0.0
45,313,301.0,150.0,0.0
46,314,304.0,150.0,0.0
47,315,305.0,150.0,0.0
48,316,306.0,150.0,0.0
49,317,298.0,151.0,0.0
50,318,276.0,152.0,0.0
51,320,299.0,152.0,0.0
52,321,278.0,153.0,0.0
53,322,280.0,153.0,0.0
54,323,290.0,153.0,0.0
55,324,281.0,154.0,0.0
56,325,1200.0,228.0,1.0
57,326,1199.0,229.0,1.0
58,327,1200.0,232.0,1.0
59,328,1201.0,233.0,1.0
60,329,1202.0,233.0,1.0
61,330,1199.0,234.0,1.0
62,331,1201.0,234.0,1.0
63,332,1203.0,234.0,1.0
64,333,1203.0,235.0,1.0
65,334,1204.0,235.0,1.0
66,335,1206.0,235.0,1.0
67,336,1209.0,235.0,1.0
68,337,1204.0,236.0,1.0
69,338,1207.0,236.0,1.0
70,339,1209.0,236.0,1.0
71,340,1211.0,236.0,1.0
72,341,1201.0,237.0,1.0
73,342,1204.0,237.0,1.0
74,343,1205.0,237.0,1.0
75,344,1209.0,237.0,1.0
76,345,1219.0,237.0,1.0
77,346,1199.0,238.0,1.0
78,347,1200.0,238.0,1.0
79,348,1210.0,238.0,1.0
80,349,1202.0,239.0,1.0
81,350,1203.0,239.0,1.0
82,351,1204.0,239.0,1.0
83,352,1207.0,239.0,1.0
84,353,1213.0,239.0,1.0
85,354,1206.0,240.0,1.0
86,355,1207.0,240.0,1.0
87,356,1212.0,240.0,1.0
88,357,1213.0,240.0,1.0
89,358,1165.0,257.0,1.0
90,359,1161.0,258.0,1.0
91,360,1171.0,258.0,1.0
92,361,1171.0,259.0,1.0
93,362,1161.0,260.0,1.0
94,363,1167.0,260.0,1.0
95,364,1157.0,261.0,1.0
96,365,1158.0,261.0,1.0
97,366,1161.0,261.0,1.0
98,367,1165.0,261.0,1.0
99,368,1158.0,262.0,1.0
100,369,1167.0,262.0,1.0
101,370,1158.0,263.0,1.0
102,371,1172.0,263.0,1.0
103,372,1062.0,264.0,1.0
